# freq	REsusc	std_dev_REsusc	IMsusc	std_dev_IMsusc
6.300000000000000044e-03	7.120000000000000284e+01	7.119999999999999662e-01	2.160000000000000142e+01	2.159999999999999976e-01
6.414000000000000430e-03	7.090000000000000568e+01	7.089999999999999636e-01	2.210000000000000142e+01	2.210000000000000020e-01
6.728999999999999738e-03	7.029999999999999716e+01	7.029999999999999583e-01	2.269999999999999929e+01	2.270000000000000073e-01
6.850000000000000186e-03	6.970000000000000284e+01	6.969999999999999529e-01	2.300000000000000000e+01	2.300000000000000100e-01
6.957999999999999775e-03	6.970000000000000284e+01	6.969999999999999529e-01	2.330000000000000071e+01	2.330000000000000127e-01
7.267000000000000022e-03	6.920000000000000284e+01	6.919999999999999485e-01	2.419999999999999929e+01	2.419999999999999929e-01
7.406000000000000257e-03	6.879999999999999716e+01	6.879999999999999449e-01	2.450000000000000000e+01	2.449999999999999956e-01
7.681000000000000327e-03	6.870000000000000284e+01	6.870000000000000551e-01	2.530000000000000071e+01	2.530000000000000027e-01
7.849999999999999339e-03	6.790000000000000568e+01	6.790000000000000480e-01	2.560000000000000142e+01	2.560000000000000053e-01
7.900000000000000772e-03	6.779999999999999716e+01	6.780000000000000471e-01	2.569999999999999929e+01	2.570000000000000062e-01
7.941000000000000142e-03	6.779999999999999716e+01	6.780000000000000471e-01	2.580000000000000071e+01	2.580000000000000071e-01
7.950000000000000469e-03	6.759999999999999432e+01	6.760000000000000453e-01	2.569999999999999929e+01	2.570000000000000062e-01
8.243999999999999592e-03	6.709999999999999432e+01	6.710000000000000409e-01	2.600000000000000000e+01	2.600000000000000089e-01
8.500000000000000611e-03	6.595999999999999375e+01	9.893999999999999462e-01	2.682000000000000028e+01	6.704999999999999849e-01
8.578999999999999820e-03	6.679999999999999716e+01	6.680000000000000382e-01	2.719999999999999929e+01	2.720000000000000195e-01
8.978999999999999135e-03	6.540000000000000568e+01	6.540000000000000258e-01	2.769999999999999929e+01	2.770000000000000240e-01
9.199999999999999845e-03	6.489000000000000057e+01	9.733500000000000485e-01	2.835000000000000142e+01	7.087499999999999911e-01
9.516000000000000153e-03	6.379999999999999716e+01	6.380000000000000115e-01	2.869999999999999929e+01	2.869999999999999774e-01
1.000000000000000021e-02	6.300999999999999801e+01	9.451500000000000457e-01	2.980999999999999872e+01	7.452499999999999680e-01
1.022999999999999951e-02	6.200000000000000000e+01	6.199999999999999956e-01	3.000000000000000000e+01	2.999999999999999889e-01
1.044999999999999922e-02	6.110000000000000142e+01	6.109999999999999876e-01	3.019999999999999929e+01	3.019999999999999907e-01
1.119999999999999989e-02	5.997999999999999687e+01	8.996999999999999442e-01	3.157999999999999829e+01	7.894999999999998685e-01
1.132000000000000020e-02	5.950000000000000000e+01	5.949999999999999734e-01	3.180000000000000071e+01	3.180000000000000049e-01
1.173000000000000084e-02	5.850000000000000000e+01	5.849999999999999645e-01	3.229999999999999716e+01	3.230000000000000093e-01
1.200000000000000025e-02	5.795000000000000284e+01	8.692500000000000782e-01	3.271999999999999886e+01	8.179999999999999494e-01
1.200000000000000025e-02	5.820000000000000284e+01	5.819999999999999618e-01	3.310000000000000142e+01	3.310000000000000164e-01
1.248999999999999937e-02	5.660000000000000142e+01	5.659999999999999476e-01	3.339999999999999858e+01	3.340000000000000191e-01
1.250000000000000069e-02	5.660000000000000142e+01	8.489999999999999769e-01	3.329999999999999716e+01	3.330000000000000182e-01
1.252999999999999947e-02	5.660000000000000142e+01	8.489999999999999769e-01	3.339999999999999858e+01	3.340000000000000191e-01
1.277000000000000010e-02	5.579999999999999716e+01	8.369999999999999662e-01	3.350000000000000000e+01	3.350000000000000200e-01
1.299999999999999940e-02	5.546999999999999886e+01	8.320499999999999563e-01	3.360000000000000142e+01	8.399999999999999689e-01
1.314000000000000064e-02	5.529999999999999716e+01	8.295000000000000151e-01	3.420000000000000284e+01	3.420000000000000262e-01
1.337999999999999953e-02	5.400000000000000000e+01	8.100000000000000533e-01	3.400000000000000000e+01	3.400000000000000244e-01
1.382000000000000069e-02	5.350000000000000000e+01	8.024999999999999911e-01	3.450000000000000000e+01	3.449999999999999734e-01
1.400000000000000029e-02	5.303000000000000114e+01	7.954499999999999904e-01	3.436999999999999744e+01	8.592499999999999583e-01
1.422999999999999959e-02	5.260000000000000142e+01	7.890000000000000346e-01	3.470000000000000284e+01	3.469999999999999751e-01
1.499999999999999944e-02	5.082999999999999829e+01	7.624500000000000721e-01	3.510999999999999943e+01	8.777500000000000302e-01
1.524000000000000007e-02	5.000000000000000000e+01	7.500000000000000000e-01	3.529999999999999716e+01	3.529999999999999805e-01
1.563000000000000153e-02	4.960000000000000142e+01	7.439999999999999947e-01	3.579999999999999716e+01	3.579999999999999849e-01
1.614000000000000157e-02	4.820000000000000284e+01	7.229999999999999760e-01	3.550000000000000000e+01	3.549999999999999822e-01
1.650000000000000078e-02	4.753999999999999915e+01	7.131000000000000671e-01	3.581000000000000227e+01	8.952500000000001013e-01
1.660000000000000017e-02	4.700000000000000000e+01	7.049999999999999600e-01	3.589999999999999858e+01	3.589999999999999858e-01
1.717000000000000123e-02	4.539999999999999858e+01	6.810000000000000497e-01	3.610000000000000142e+01	3.609999999999999876e-01
1.737999999999999962e-02	4.550000000000000000e+01	6.824999999999999956e-01	3.639999999999999858e+01	3.639999999999999902e-01
1.743000000000000105e-02	4.560000000000000142e+01	6.840000000000000524e-01	3.610000000000000142e+01	3.609999999999999876e-01
1.750000000000000167e-02	4.527000000000000313e+01	6.790500000000000425e-01	3.575999999999999801e+01	8.939999999999999059e-01
1.802000000000000129e-02	4.439999999999999858e+01	8.880000000000000115e-01	3.670000000000000284e+01	3.669999999999999929e-01
1.847999999999999990e-02	4.270000000000000284e+01	8.539999999999999813e-01	3.660000000000000142e+01	3.659999999999999920e-01
1.901999999999999871e-02	4.170000000000000284e+01	8.339999999999999636e-01	3.620000000000000284e+01	3.619999999999999885e-01
2.101000000000000090e-02	3.800000000000000000e+01	7.600000000000000089e-01	3.629999999999999716e+01	3.629999999999999893e-01
2.352999999999999883e-02	3.439999999999999858e+01	6.879999999999999449e-01	3.579999999999999716e+01	3.579999999999999849e-01
2.444999999999999951e-02	3.279999999999999716e+01	6.560000000000000275e-01	3.520000000000000284e+01	3.519999999999999796e-01
2.642999999999999863e-02	3.110000000000000142e+01	7.774999999999999689e-01	3.479999999999999716e+01	6.959999999999999520e-01
2.664000000000000049e-02	3.080000000000000071e+01	7.700000000000000178e-01	3.460000000000000142e+01	6.919999999999999485e-01
2.670000000000000151e-02	3.100000000000000000e+01	7.750000000000000222e-01	3.460000000000000142e+01	6.919999999999999485e-01
2.679000000000000131e-02	3.000000000000000000e+01	7.500000000000000000e-01	3.429999999999999716e+01	6.860000000000000542e-01
2.682999999999999968e-02	3.100000000000000000e+01	7.750000000000000222e-01	3.489999999999999858e+01	6.979999999999999538e-01
2.699999999999999969e-02	2.937000000000000099e+01	4.699200000000000599e-01	3.389000000000000057e+01	8.472499999999999476e-01
2.760999999999999913e-02	2.989999999999999858e+01	7.475000000000000533e-01	3.410000000000000142e+01	6.820000000000000506e-01
2.812999999999999876e-02	2.939999999999999858e+01	7.349999999999999867e-01	3.410000000000000142e+01	6.820000000000000506e-01
2.858000000000000124e-02	2.919999999999999929e+01	7.299999999999999822e-01	3.389999999999999858e+01	6.780000000000000471e-01
2.999999999999999889e-02	2.612000000000000099e+01	9.142000000000000126e-01	3.254999999999999716e+01	8.137499999999999734e-01
3.300000000000000155e-02	2.355999999999999872e+01	7.067999999999998728e-01	3.121999999999999886e+01	7.804999999999999716e-01
3.599999999999999728e-02	2.164999999999999858e+01	3.247499999999999276e-01	2.996000000000000085e+01	7.490000000000001101e-01
3.656000000000000222e-02	2.139999999999999858e+01	8.559999999999999831e-01	3.010000000000000142e+01	9.030000000000000249e-01
3.683999999999999775e-02	2.130000000000000071e+01	8.519999999999999796e-01	3.000000000000000000e+01	9.000000000000000222e-01
3.781000000000000333e-02	2.110000000000000142e+01	8.439999999999999725e-01	2.960000000000000142e+01	8.880000000000000115e-01
3.796999999999999681e-02	2.080000000000000071e+01	8.319999999999999618e-01	2.950000000000000000e+01	8.850000000000000089e-01
3.899999999999999994e-02	1.953000000000000114e+01	4.687200000000000255e-01	2.857000000000000028e+01	7.142499999999999405e-01
3.962000000000000244e-02	2.060000000000000142e+01	8.239999999999999547e-01	2.910000000000000142e+01	8.729999999999999982e-01
5.224999999999999784e-02	1.530000000000000071e+01	1.530000000000000027e+00	2.389999999999999858e+01	9.559999999999999609e-01
5.777999999999999803e-02	1.150000000000000000e+01	1.149999999999999911e+00	2.250000000000000000e+01	9.000000000000000222e-01
5.999999999999999778e-02	1.286999999999999922e+01	4.504499999999999615e-01	2.137999999999999901e+01	6.413999999999999702e-01
6.600000000000000311e-02	1.181000000000000050e+01	4.960200000000000164e-01	1.989999999999999858e+01	5.969999999999999751e-01
7.199999999999999456e-02	1.116999999999999993e+01	7.148799999999999599e-01	1.819000000000000128e+01	5.457000000000000739e-01
7.900000000000000078e-02	1.003999999999999915e+01	3.815199999999999148e-01	1.767999999999999972e+01	8.663200000000000900e-01
8.899999999999999578e-02	8.349999999999999645e+00	4.759499999999999842e-01	1.544999999999999929e+01	4.634999999999999676e-01
1.441999999999999948e-01	6.910000000000000142e+00	4.146000000000000241e-01	1.093999999999999950e+01	5.469999999999999307e-01
1.571999999999999786e-01	6.370000000000000107e+00	3.821999999999999842e-01	9.869999999999999218e+00	4.934999999999999387e-01
1.949000000000000177e-01	5.889999999999999680e+00	3.533999999999999364e-01	8.250000000000000000e+00	4.124999999999999778e-01
1.960999999999999965e-01	6.419999999999999929e+00	3.851999999999999869e-01	8.289999999999999147e+00	4.144999999999999796e-01
2.156999999999999751e-01	5.929999999999999716e+00	3.558000000000000052e-01	7.599999999999999645e+00	3.800000000000000044e-01
2.505000000000000004e-01	5.589999999999999858e+00	3.353999999999999759e-01	6.549999999999999822e+00	3.275000000000000133e-01
2.999999999999999889e-01	5.571463960000000881e+00	nan	5.669040000000000745e+00	nan
3.151999999999999802e-01	5.530000000000000249e+00	3.317999999999999838e-01	5.469999999999999751e+00	2.734999999999999654e-01
5.999999999999999778e-01	4.435101000000000404e+00	nan	3.195100000000000051e+00	nan
8.999999999999999112e-01	4.344770999999999717e+00	nan	2.266100000000000225e+00	nan
1.199999999999999956e+00	4.240499999999999936e+00	nan	1.941200000000000037e+00	nan
1.500000000000000000e+00	4.093055999999999806e+00	nan	1.813319999999999821e+00	nan
1.799999999999999822e+00	3.964463999999999988e+00	nan	1.811520000000000019e+00	nan
2.100000000000000089e+00	3.877899999999999903e+00	nan	1.818000000000000060e+00	nan
2.399999999999999911e+00	3.822943999999998788e+00	nan	1.873319999999999874e+00	nan
2.699999999999999734e+00	3.762830999999999815e+00	nan	1.947999999999999954e+00	nan
3.000000000000000000e+00	3.730960000000000498e+00	nan	2.024958000000000258e+00	nan
3.299999999999999822e+00	3.645299999999999763e+00	nan	2.108848000000000056e+00	nan
3.599999999999999645e+00	3.531350999999999463e+00	nan	2.183440000000000047e+00	nan
3.899999999999999911e+00	3.388112000000000013e+00	nan	2.226065999999999878e+00	nan
4.200000000000000178e+00	3.220450999999999731e+00	nan	2.241539999999999644e+00	nan
4.500000000000000000e+00	3.045440000000000147e+00	nan	2.247167999999999832e+00	nan
4.799999999999999822e+00	2.856716999999999729e+00	nan	2.240444000000000102e+00	nan
5.099999999999999645e+00	2.652874999999999872e+00	nan	2.196467999999999865e+00	nan
5.399999999999999467e+00	2.470797000000000132e+00	nan	2.087604000000000237e+00	nan
5.700000000000000178e+00	2.333190999999999349e+00	nan	1.958159999999999901e+00	nan
6.000000000000000000e+00	2.233959000000000472e+00	nan	1.827199999999999935e+00	nan
6.299999999999999822e+00	2.164968000000000004e+00	nan	1.689226000000000116e+00	nan
6.599999999999999645e+00	2.122739000000000154e+00	nan	1.557420000000000027e+00	nan
6.899999999999999467e+00	2.114822999999999897e+00	nan	1.433263999999999871e+00	nan
7.199999999999999289e+00	2.135528999999999566e+00	nan	1.329799999999999871e+00	nan
7.500000000000000000e+00	2.166444999999999510e+00	nan	1.266011999999999915e+00	nan
7.799999999999999822e+00	2.188620000000000232e+00	nan	1.219472000000000111e+00	nan
8.099999999999999645e+00	2.204931000000000196e+00	nan	1.181180000000000119e+00	nan
8.400000000000000355e+00	2.221743999999999719e+00	nan	1.152749999999999941e+00	nan
8.699999999999999289e+00	2.233096999999999888e+00	nan	1.132703999999999933e+00	nan
9.000000000000000000e+00	2.244359999999999911e+00	nan	1.112601999999999869e+00	nan
9.299999999999998934e+00	2.253400000000000070e+00	nan	1.101701999999999959e+00	nan
9.599999999999999645e+00	2.265506999999999938e+00	nan	1.091475999999999891e+00	nan
9.900000000000000355e+00	2.278596000000000288e+00	nan	1.091199999999999948e+00	nan
1.019999999999999929e+01	2.281967999999999996e+00	nan	1.105024000000000006e+00	nan
1.050000000000000000e+01	2.279823000000000377e+00	nan	1.114335999999999993e+00	nan
1.079999999999999893e+01	2.276935000000000375e+00	nan	1.126751999999999976e+00	nan
1.109999999999999964e+01	2.263976999999999684e+00	nan	1.140063999999999966e+00	nan
1.140000000000000036e+01	2.248641000000000112e+00	nan	1.149479999999999835e+00	nan
1.169999999999999929e+01	2.232551999999999648e+00	nan	1.161913999999999891e+00	nan
1.200000000000000000e+01	2.216444999999999776e+00	nan	1.174267999999999867e+00	nan
1.229999999999999893e+01	2.198028000000000315e+00	nan	1.182703999999999978e+00	nan
1.259999999999999964e+01	2.179628999999999817e+00	nan	1.191060000000000008e+00	nan
1.290000000000000036e+01	2.158204999999999707e+00	nan	1.198547999999999947e+00	nan
1.319999999999999929e+01	2.137615999999999961e+00	nan	1.202909999999999924e+00	nan
1.350000000000000000e+01	2.119298999999999822e+00	nan	1.211019999999999985e+00	nan
1.379999999999999893e+01	2.098799999999999777e+00	nan	1.215232000000000090e+00	nan
1.409999999999999964e+01	2.071552000000000060e+00	nan	1.220735999999999821e+00	nan
1.439999999999999858e+01	2.045223000000000013e+00	nan	1.223136000000000001e+00	nan
1.469999999999999929e+01	2.018174999999999830e+00	nan	1.228399999999999936e+00	nan
1.500000000000000000e+01	1.986175999999999942e+00	nan	1.228920000000000012e+00	nan
1.529999999999999893e+01	1.960202999999999918e+00	nan	1.231003999999999987e+00	nan
1.559999999999999964e+01	1.926472000000000184e+00	nan	1.227546000000000026e+00	nan
1.589999999999999858e+01	1.895856000000000208e+00	nan	1.224849999999999994e+00	nan
1.619999999999999929e+01	1.866284999999999972e+00	nan	1.219211999999999962e+00	nan
1.650000000000000000e+01	1.831232000000000193e+00	nan	1.211826000000000070e+00	nan
1.680000000000000071e+01	1.797320000000000029e+00	nan	1.201578000000000035e+00	nan
1.709999999999999787e+01	1.765631999999999646e+00	nan	1.194975999999999816e+00	nan
1.739999999999999858e+01	1.735896000000000106e+00	nan	1.182790000000000008e+00	nan
1.769999999999999929e+01	1.701759000000000244e+00	nan	1.166200000000000125e+00	nan
1.800000000000000000e+01	1.673391999999999991e+00	nan	1.151405999999999930e+00	nan
1.830000000000000071e+01	1.640704000000000384e+00	nan	1.132319999999999993e+00	nan
